id,latitude,longitude,matrix_id,type,fill_level,waste_kg,priority,elevation_m,nearest_node
3220,38.701099396,-9.329959869,228,container,0,0,1,68.0,427064924
3221,38.682701111,-9.326999664,229,container,0,0,1,23.0,4281998091
3224,38.700500488,-9.339440346,230,container,0,0,1,65.0,3773479772
3225,38.681098938,-9.330400467,231,container,0,0,1,22.0,329700720
3228,38.691501617,-9.340490341,232,container,0,0,1,31.0,3368124207
3229,38.692401886,-9.340140343,233,container,0,0,1,33.0,6411647157
3230,38.691200256,-9.339420319,234,container,0,0,1,34.0,3368124206
3231,38.690898895,-9.340470314,235,container,0,0,1,31.0,1956828894
3232,38.692901611,-9.337340355,236,container,0,0,1,37.0,1956828828
3233,38.693099976,-9.338479996,237,container,0,0,1,36.0,1956828636
3234,38.69260025,-9.339460373,238,container,0,0,1,35.0,1956828645
3235,38.694801331,-9.341480255,239,container,0,0,1,36.0,329701342
3237,38.694900513,-9.334369659,240,container,0,0,1,40.0,329701249
3238,38.693199158,-9.333979607,241,container,0,0,1,31.0,2064823912
3239,38.690799713,-9.334890366,242,container,0,0,1,31.0,1789858369
3240,38.694900513,-9.335430145,243,container,0,0,1,42.0,329701244
3241,38.695800781,-9.335269928,244,container,0,0,1,39.0,329701242
3242,38.694301605,-9.334489822,245,container,0,0,1,40.0,329701280
3249,38.686798096,-9.339650154,246,container,0,0,1,22.0,1583790320
3254,38.691898346,-9.341239929,247,container,0,0,1,31.0,9688971033
3261,38.68119812,-9.328160286,248,container,0,0,1,22.0,2368376066
3262,38.681900024,-9.327949524,249,container,0,0,1,25.0,4281998090
3263,38.682899475,-9.328579903,250,container,0,0,1,22.0,4033321915
3264,38.68119812,-9.325530052,251,container,0,0,1,22.0,4033727327
3265,38.681999207,-9.326069832,252,container,0,0,1,21.0,4033727264
3266,38.682899475,-9.330050468,253,container,0,0,1,22.0,4033818664
3340,38.687999725,-9.34265995,254,container,0,0,1,27.0,11745909998
3346,38.687999725,-9.336990356,255,container,0,0,1,28.0,5582102170
3498,38.702598572,-9.329899788,256,container,0,0,1,60.0,327600713
3543,38.688999176,-9.341719627,257,container,0,0,1,24.0,1959375721
3547,38.687400818,-9.335519791,258,container,0,0,1,23.0,10079263663
3549,38.700199127,-9.334199905,259,container,0,0,1,48.0,1956760572
3551,38.679698944,-9.328940392,260,container,0,0,1,17.0,12098853019
3553,38.683300018,-9.328359604,261,container,0,0,1,22.0,4033820185
